Current DKP (Including Alts) - NAGD Pool commenced 1 Jan 2018 Pool This character is a main
Earned	Spent	Total	Last Raid	Last 30	Last 60
1,897	1,883	14	2026-02-19	2/37 (5%)	2/69 (3%)

Current DKP - NAGD Pool commenced 1 Jan 2018 Pool
Earned	Spent	Total	Last Raid	Last 30	Last 60
1,897	1,883	14	2026-02-19	2/37 (5%)	2/69 (3%)

Item History
Item	Spent	Date	Raid Name	Event
POE B Warlords	2022-07-20	3
Back to the Future	2022-07-19	4
Corn and Seru	2022-07-18	4
Water Minis	2022-07-15	2
Rathe Council	2022-07-15	2
Rathe	2022-07-14	4
7/13/2022 XEGONY	2022-07-13	2
Coirnav/Minis	2022-07-11	4
Seru	2022-07-10	2
Tower of Boredom	2022-07-07	4
6/6/2022 COIRNAV AND WATER MINIS	2022-07-06	4
PoE A	2022-07-05	4
Saryn	2022-07-02	3
Dirty Jobs	2022-06-30	5
RZTW	2022-06-29	2
The Pain	2022-06-28	2
Carprin+Bert 6/27/22	2022-06-27	3
TT/MB/VZ/TZ	2022-06-24	3
Grummus/Carp/Agnarr	2022-06-23	3
AD/HOH/LMM	2022-06-22	4
P4 DOWN!	2022-06-21	5
Fire minis and Rennin Fo	2022-06-20	5
Time P1 + P4 x2 DKP	2022-06-17	10
Fire Minnies	2022-06-16	3
TIME P1-3	2022-06-14	4
Fire Minis	2022-06-12	3
Thursday Time	2022-06-09	2
Fennin and friends	2022-06-08	5
6/7/2022 TIME	2022-06-07	4
Xegony	2022-06-06	2
Time p4	2022-06-03	6
PoTime P1+P4	2022-06-02	6
TIMETIME P1-3	2022-05-31	4
6/1 Xegony	2022-05-30	2
Time P4	2022-05-26	8
Time P1-P3	2022-05-24	4
VT one day only	2022-05-17	4
TIME!	2022-05-12	5
Solro Tower	2022-05-11	4
Time P1	2022-05-10	2
poeb minis emp cursed	2022-05-09	3
TimeMoo	2022-05-05	4
MooTime	2022-05-03	5
5/2 Saryrn + PoEB Minis	2022-05-02	2
4/29 - Cursed + Emp + XtC	2022-04-29	2
rathe for the cure	2022-04-28	4
4/27 - Agnarr + Earth B Minis + Ginto	2022-04-27	4
TIME P1-3	2022-04-26	5
Water Minis With a Side Of Seru	2022-04-25	4
HOH/MITHMARR	2022-04-22	3
Time + Fennin	2022-04-21	4
4/20/22 XEGONY	2022-04-20	2
Time for bst pants	2022-04-19	4
Davey Jones Locker	2022-04-18	4
Crypt + Bert + SERU	2022-04-14	4
Water Park	2022-04-13	4
Earth Rings Day 2	2022-04-12	3
EARTH RINGS, DAY 1	2022-04-11	4
P4 Attempt	2022-04-09	4
TIMETIME	2022-04-08	5
Earth Rings Day 2	2022-04-05	2
PoE day 1	2022-04-04	3
Time Phase 1	2022-04-02	3
Time for a Rematch	2022-04-02	5
First Time!	2022-03-31	2
RZTW + Carprin	2022-03-30	3
3/29/20 MB, TZ, VZ, Seru	2022-03-29	4
Water Stuff	2022-03-28	3
PoE-B Rathe Council	2022-03-25	3
Rathe Council	2022-03-24	3
Ginto!	2022-03-23	4
SOLRO - maybe	2022-03-21	5
Seru + EarthB	2022-03-18	4
Saryrn	2022-03-16	2
Cap and Berty	2022-03-15	3
RALLOS ZEK THE DEDLORD/AGNAAR	2022-03-11	3
Coirnav	2022-03-10	2
Earth ring Finale	2022-03-09	2
Earth, Day 1	2022-03-08	3
TT Grummus AD	2022-03-07	3
3/4/22 CORINAV	2022-03-04	4
EARTHA 3/3/22	2022-03-03	3
Earth A	2022-03-02	4
lmm i think? fiik	2022-03-01	2
Earth Rings	2022-02-28	6
vt - inacht says full clear	2022-02-26	4
2/25/22 HOH, TZ/VZ	2022-02-25	5
Xegony	2022-02-23	2
AIR2 2-22-22	2022-02-22	5
AIR 2-21-22	2022-02-21	4
VT TVX witha side of DXVT	2022-02-19	2
vt and cursed maybe	2022-02-18	5
fennin !! and carp	2022-02-17	4
2/16/2022 FIRE!	2022-02-16	5
Fire Man and MechBeast	2022-02-15	3
ToSR - Day 1	2022-02-12	4
VZ/TZ 2/9/22	2022-02-11	3
MB, RZTW, Grummus	2022-02-07	4
EMP	2022-02-03	3
TERRIS 2.0	2022-02-02	2
2/1/22 AGNARR	2022-02-01	2
HoH Trials	2022-01-28	4
Saryrn!	2022-01-25	3
Terris Thule + Aerin'Dar + Stomach Event	2022-01-24	4
BERTOX ONE-SHOT!	2022-01-19	2
Carprin 2.0	2022-01-18	2
Grummus // Carprin	2022-01-14	3
Agnarr the Stormlord	2022-01-12	2
Xanamech	2022-01-11	1
HEDGE EVENT	2022-01-10	2
AGNARR	2022-01-08	2
POStorms	2022-01-07	2
Mayong and Burrower	2022-01-04	2
MAYONG 2.0/DEEP WORM	2021-12-29	3
Seru	2021-12-23	2
12/23/2021 THE DEEP	2021-12-23	2
XTC/HP/TVX	2021-12-21	3
TVX + TXD	2021-12-18	2
VT Day 2	2021-12-17	3
VT Day 1	2021-12-16	3
TVX	2021-12-14	2
XTC/HP	2021-12-11	2
vt day 2.5	2021-12-11	2
VT Day 2	2021-12-10	3
VT Day 1	2021-12-09	3
VT - day .5	2021-12-08	2
Curse+Shei	2021-12-06	2
Grimling Raid	2021-12-02	3
Dainz	2021-11-29	2
Cursed/Shei	2021-11-26	2
Archy Lichy	2021-11-23	2
Emp	2021-11-19	2
VULAK!!!	2021-11-17	4
Tunare	2021-11-16	3
AL x2	2021-11-14	3
emp	2021-11-11	2
ac wurm doze/drakes ST	2021-11-09	3
AC Burrower	2021-11-07	1
AC Burrower	2021-11-06	1
AC Burrower	2021-11-04	1
Burrower/Doze/ST	2021-11-03	3
Dozerakes/SleepyTomb	2021-10-28	2
KT/STatue/AOW	2021-10-26	2
Seru	2021-10-22	2
Statue/AOW	2021-10-20	2
VULAK: DARGON ELITE	2021-10-16	3
NTOV CLEAR	2021-10-15	4
10/14/21 Seru/KT/AoW	2021-10-14	3
tvx , the last for the year???!!!	2021-10-12	2
TVX 10/9	2021-10-09	2
VT DAY TWOOOO	2021-10-08	3
VT DAY ONE	2021-10-07	3
TVX	2021-10-05	2
TVX	2021-10-02	2
VT Day Two	2021-10-01	3
VT Day 1	2021-09-30	3
TVX 9/29	2021-09-29	2
XTC/BURROWER/THO	2021-09-28	3
Deep Burrower/THO	2021-09-22	3
XTC SOLO 9/20/21	2021-09-20	1
Deep Burrower	2021-09-17	2
POG/Tunare	2021-09-16	4
9/14/21 HP Snek Man	2021-09-14	2
Emp+ Shei 9/10/21	2021-09-10	2
VULAK GOT THE ABASHI	2021-09-08	4
ToV by request of Walex	2021-09-07	4
HP SSRA 9/6/21	2021-09-06	2
emp shei - awesome	2021-09-02	2
KT/AOW/Rhags/ALs	2021-08-31	4
CURSED SNEK	2021-08-27	2
TUNARE 8/26	2021-08-26	4
Avatar Idol of Rallos Statue Thing	2021-08-25	2
Rhag 2/AL/2/AL	2021-08-23	2
KT/Statue/AOW/Cursed	2021-08-19	3
Escaped Burrower/Deep/Doze	2021-08-17	4
ST	2021-08-16	2
AC worm thing	2021-08-15	1
AC Bear-owwer	2021-08-14	1
AC Burrower with Lamb Injera	2021-08-12	1
[IDeep Burrower/Doze	2021-08-11	2
Early AC burrower	2021-08-11	1
st featuring Walex	2021-08-10	2
VT, day two, 11th hour	2021-07-30	2
VT Day One	2021-07-29	3
TVX again , or is this the first time?	2021-07-27	2
VT then SERU	2021-07-24	3
vt day 2 stardate 2338384	2021-07-23	3
VT - day 1ish	2021-07-22	3
TVX/Seru 21 Jul 21	2021-07-21	2
vulak , just horrible	2021-07-09	4
ntov or something	2021-07-08	4
xtc hp	2021-07-05	1
Cursed/Emp 2 Jul 21	2021-07-02	2
Vulak 6-29	2021-06-29	4
6/28/2021 ToV CLEAR	2021-06-28	4
XTC/HP	2021-06-25	2
Cursed + Emp	2021-06-24	2
6/22/2021 DEEP BURROWER/SHEI	2021-06-22	3
DAINSSSSSS 21 Jun 21	2021-06-21	3
Deep Burrower	2021-06-16	2
6/10 Deep Burrower + Shei	2021-06-10	3
TVX, Rhags, AL	2021-06-08	4
ST	2021-06-07	2
TVX things	2021-06-05	2
VT Day Two	2021-06-04	3
VT Day 1 Thursday 3 June 2021	2021-06-03	3
ST/TVX Tuesday 1 June 2021	2021-06-01	3
5/31/2021 RHAG 2 + AL + RHAGS + AL	2021-05-31	3
TVX Sat 5/29	2021-05-29	2
VT Day 2	2021-05-28	3
VT Day 1 5/27	2021-05-27	3
tvx and st	2021-05-26	3
5/25 AC Burrower + Kael + Doze	2021-05-25	3
5/24/2021 PRAES + SERU	2021-05-24	2
5/23/2021 ESCAPED BURROWER	2021-05-23	1
AC Burrower Sat 22 May 21	2021-05-22	1
Escaped Burrower	2021-05-20	1
AC Burrower/AOW/Doze Wed 19 May	2021-05-19	3
5/14/2021 PRAES + SERU	2021-05-14	2
5/13/2021 Kael + Doze	2021-05-13	3
XTC/HP Monday 10 May 21	2021-05-10	2
Emp Ssra Friday 7 May 21	2021-05-07	2
vulak the worst	2021-05-03	4
ntov	2021-05-02	4
XTC/HP Friday 30 Apr 2021	2021-04-30	2
Emp Ssra 29 April 21	2021-04-29	2
Deep Burrower Rue 27 Apr 21	2021-04-27	2
Cursed and the damned shei	2021-04-23	3
deep burrrrorwer	2021-04-21	2
cursed then shei	2021-04-16	2
4/15/2021 DEEP BURROWER	2021-04-15	2
4/14/2021 TVX AND AC BURROWER	2021-04-14	3
vt day 2 stardate 20231	2021-04-09	3
4/8/2021 VT DAY ONE	2021-04-08	3
TVX Wed 7 April	2021-04-07	2
4/06/2021 AC BURROWER	2021-04-06	1
AC Burrower TVX Sat 3 April 21	2021-04-03	4
vt day 2	2021-04-02	4
VT Day 1 4/1	2021-04-01	3
tvx	2021-03-31	2
AL i think twice again	2021-03-30	3
sleeper	2021-03-29	2
Tunare	2021-03-28	4
Sleeper's Tomb Tuesday 3/23/2021	2021-03-23	2
AL - maybe 2	2021-03-22	2
Tunare - our Mother	2021-03-20	4
st	2021-03-17	2
kael doze	2021-03-16	3
seru	2021-03-15	2
emp snekk	2021-03-12	2
aow doze 3/10	2021-03-10	2
Dains Monday 03/08/2021	2021-03-08	2
Seru Friday 03/05/2021	2021-03-05	2
3/04/21 Emp + Kael + Doze	2021-03-04	4
Deeper burrower	2021-03-02	2
3/01/2021 SHEI	2021-03-01	1
Deep Burrower Wed 24 Feb 2021	2021-02-24	2
Vulak the Thing	2021-02-21	4
NTOV Clear Sat 02/20/2021	2021-02-20	4
shei	2021-02-19	2
deep burrower 2/18	2021-02-18	2
cursed and tvx or whatever	2021-02-15	1
tvx and the damn cursed	2021-02-05	2
2/2/21 DOZE/DRAKES	2021-02-02	2
XTC HP SHEI	2021-01-30	2
just doze	2021-01-27	1
1/21/2021 DOZE/DRAKES/SHEI	2021-01-21	1
KAEL - AL - ST awesome	2021-01-19	3
kael - st	2021-01-13	1
Jan 5 - AC Burrower	2021-01-05	1
